post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:sport,attribute:Packages,attribute_data:Packages,attribute:pa_certification,attribute_data:pa_certification,attribute:pa_package,attribute_data:pa_package
CRICKET,cricket,,3098,"Come and join the fun of cricket! A game for all ages and skill levels","Come and join the fun of cricket! A game for all ages and skill levels",publish,,0,"2024-03-18 17:48:55",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/0032image_cropper_1690367425793.jpg ! alt :  ! title : 0032image_cropper_1690367425793 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/cricket/,0,simple,,"Punjab > Kharar",,,Cricket,,,,,,
"Water Wonder Swimming Academy",water-wonder-swimming-academy,,3099,"Water Wonder","Water Wonder",publish,,0,"2024-03-18 17:48:59",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/0244image_cropper_1690367551653.jpg ! alt :  ! title : 0244image_cropper_1690367551653 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/water-wonder-swimming-academy/,0,simple,,"Punjab > Kharar|Punjab",,,Swimming,,,,,,
"Horse Riding Academy",horse-riding-academy,,3100,"Horse Riding Academy","Horse Riding Academy",publish,,0,"2024-03-18 17:49:01",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230715165907-2023-07-15tbl_venue165436.jpg ! alt :  ! title : 20230715165907-2023-07-15tbl_venue165436 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/horse-riding-academy/,0,simple,,"Punjab > Kharar",,,"Horse riding",,,,,,
"virtual G.K Quize",virtual-g-k-quize,,3101,"virtual G.K Quiz","virtual G.K Quiz",publish,,0,"2024-03-18 17:49:04",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230719150618-2023-07-19tbl_venue150356.jpeg ! alt :  ! title : 20230719150618-2023-07-19tbl_venue150356 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/virtual-g-k-quize/,0,simple,,"Punjab > Kharar",,,"Public speaking",,,,,,
"CAT Films Music Institute",cat-films-music-institute,,3102,"A prestigious institution dedicated to the education and cultivation of musical talent. Offering comprehensive courses, world-class faculty, and unparalleled opportunities, it nurtures aspiring musicians and shapes them into accomplished artists.","A prestigious institution dedicated to the education and cultivation of musical talent. Offering comprehensive courses, world-class faculty, and unparalleled opportunities, it nurtures aspiring musicians and shapes them into accomplished artists.",publish,,0,"2024-03-18 17:49:07",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/1912image_cropper_1692778451375.jpg ! alt :  ! title : 1912image_cropper_1692778451375 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/cat-films-music-institute/,0,simple,,Chandigarh,,,Music,,,,,,
"Rahul Speed Skating Academy (RSSA) - 65",rahul-speed-skating-academy-rssa-65,,3103,SKATING,SKATING,publish,,0,"2024-03-18 17:49:14",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/3254image_cropper_1692880072422.jpg ! alt :  ! title : 3254image_cropper_1692880072422 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/rahul-speed-skating-academy-rssa-65/,0,simple,,"Chandigarh|Punjab > Mohali",,,Skating,,,,,,
"Rahul Speed Skating Academy (RSSA) - 41D",rahul-speed-skating-academy-rssa-41d,,3104,SKATING,SKATING,publish,,0,"2024-03-18 17:49:18",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/3450image_cropper_1692880098000.jpg ! alt :  ! title : 3450image_cropper_1692880098000 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/rahul-speed-skating-academy-rssa-41d/,0,simple,,Chandigarh,,,Skating,,,,,,
"Rahul Speed Skating Academy (RSSA)-46",rahul-speed-skating-academy-rssa-46,,3105,SKATING,SKATING,publish,,0,"2024-03-18 17:49:21",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/4604image_cropper_1692880809949.jpg ! alt :  ! title : 4604image_cropper_1692880809949 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/rahul-speed-skating-academy-rssa-46/,0,simple,,Chandigarh,,,Skating,,,,,,
"Rahul Speed Skating Academy (RSSA)-45",rahul-speed-skating-academy-rssa-45,,3106,SKATING,SKATING,publish,,0,"2024-03-18 17:49:25",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/4740image_cropper_1692880914111.jpg ! alt :  ! title : 4740image_cropper_1692880914111 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/rahul-speed-skating-academy-rssa-45/,0,simple,,Chandigarh,,,Skating,,,,,,
"Black Dragon Martial Arts Academy - 70",black-dragon-martial-arts-academy-70,,3107,mma,mma,publish,,0,"2024-03-18 17:49:33",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230816182157-2023-08-16tbl_venue182153.jpg ! alt :  ! title : 20230816182157-2023-08-16tbl_venue182153 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/black-dragon-martial-arts-academy-70/,0,simple,,Punjab,,,"Martial Arts",,,,,,
"Royal Mixed Martial Arts Academy",royal-mixed-martial-arts-academy,,3108,MMA,MMA,publish,,0,"2024-03-18 17:49:58",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230816193325-2023-08-16tbl_venue193323.jpg ! alt :  ! title : 20230816193325-2023-08-16tbl_venue193323 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/royal-mixed-martial-arts-academy/,0,simple,,"Punjab > Kharar",,,"Martial Arts",,,,,,
"Psychology Sessions",psychology-sessions,,3109,.,.,publish,,0,"2024-03-18 17:50:01",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/4511image_cropper_1692207577280.jpg ! alt :  ! title : 4511image_cropper_1692207577280 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/psychology-sessions/,0,simple,,"Punjab > Mohali",,,"Public speaking",,,,,,
"Forest Kicks",forest-kicks,,3110,"Rent football turf for dynamic matches or training sessions. Our quality turf offers a safe, high-performance surface ideal for soccer. Book now for an exceptional football experience. Biggest Astro Turf in the Tricity. FIFA CERTIFIED","Rent football turf for dynamic matches or training sessions. Our quality turf offers a safe, high-performance surface ideal for soccer. Book now for an exceptional football experience. Biggest Astro Turf in the Tricity. FIFA CERTIFIED",publish,,0,"2024-03-18 17:50:05",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/4407image_cropper_1701931430111.jpg ! alt :  ! title : 4407image_cropper_1701931430111 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/forest-kicks/,0,simple,,Chandigarh,,,Football,,,,,,
"TIDA Sports - Junior Badminton Championship 2023",tida-sports-junior-badminton-championship-2023,,3111,"Calling all badminton enthusiasts and athletes! Get ready to showcase your skills and compete in an exhilarating badminton tournament on the 25th, 26th, and 27th of this month at Anees school, Shivjot Enclave, Kharar. Whether you are a seasoned player or just starting out, this tournament is open to all students who share a passion for badminton. It is not just about the competition, but also about the camaraderie and sportsmanship that make these events truly memorable.","Calling all badminton enthusiasts and athletes! Get ready to showcase your skills and compete in an exhilarating badminton tournament on the 25th, 26th, and 27th of this month at Anees school, Shivjot Enclave, Kharar. Whether you are a seasoned player or just starting out, this tournament is open to all students who share a passion for badminton. It is not just about the competition, but also about the camaraderie and sportsmanship that make these events truly memorable.",publish,,0,"2024-03-18 17:50:08",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230819125747-2023-08-19tbl_venue124557.jpg ! alt :  ! title : 20230819125747-2023-08-19tbl_venue124557 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/tida-sports-junior-badminton-championship-2023/,0,simple,,"Punjab > Kharar",,,Badminton,,,,,,
"Quench Sports",quench-sports,,3112,"Quench Sports is a dynamic multi-sports complex located at the Zirakpur - Punchkula - Shimla Highway, at the heart of the tricity. Offering a wide array of indoor and outdoor games, fitness facilities, adventure activities, and entertainment options, Quench is a one-stop destination for sports and recreation. Notably, it houses an accomplished taekwondo excellence center with a strong record in national and international competitions. Activities like Taekwondo, Lawn Tennis, Box Cricket, and Box Football ensure diverse engagement, catering to various interests.","Quench Sports is a dynamic multi-sports complex located at the Zirakpur - Punchkula - Shimla Highway, at the heart of the tricity. Offering a wide array of indoor and outdoor games, fitness facilities, adventure activities, and entertainment options, Quench is a one-stop destination for sports and recreation. Notably, it houses an accomplished taekwondo excellence center with a strong record in national and international competitions. Activities like Taekwondo, Lawn Tennis, Box Cricket, and Box Football ensure diverse engagement, catering to various interests.",publish,,0,"2024-03-18 17:50:11",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230819151452-2023-08-19tbl_venue150849.jpg ! alt :  ! title : 20230819151452-2023-08-19tbl_venue150849 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/quench-sports/,0,simple,,"Punjab > Kharar",,,Taekwondo,,,,,,
TUSKENNS,tuskenns,,3113,"one Love to all","one Love to all",publish,,0,"2024-03-18 17:50:14",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/2554scaled_status_me_status_e89579a7ef954d919f1751f9725270fb.jpg ! alt :  ! title : 2554scaled_status_me_status_e89579a7ef954d919f1751f9725270fb ! desc :  ! caption : ",,https://tidasports.com/index.php/product/tuskenns/,0,simple,,"Punjab > Kharar",,,Football,,,,,,
"Black Dragon Martial Arts Academy- MT",black-dragon-martial-arts-academy-mt,,3114,MMA,MMA,publish,,0,"2024-03-18 17:50:17",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230823132512-2023-08-23tbl_venue132342.jpg ! alt :  ! title : 20230823132512-2023-08-23tbl_venue132342 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/black-dragon-martial-arts-academy-mt/,0,simple,,"Punjab > Kharar",,,"Martial Arts",,,,,,
"Black Dragon Martial Arts Academy-35",black-dragon-martial-arts-academy-35,,3115,MMA,MMA,publish,,0,"2024-03-18 17:50:20",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230823132642-2023-08-23tbl_venue132523.jpg ! alt :  ! title : 20230823132642-2023-08-23tbl_venue132523 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/black-dragon-martial-arts-academy-35/,0,simple,,Chandigarh,,,"Martial Arts",,,,,,
"Black Dragon Martial Arts Academy-79",black-dragon-martial-arts-academy-79,,3116,MMA,MMA,publish,,0,"2024-03-18 17:50:23",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20240105165815-2024-01-05tbl_venue165807.png ! alt :  ! title : 20240105165815-2024-01-05tbl_venue165807 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/black-dragon-martial-arts-academy-79/,0,simple,,Punjab,,,"Martial Arts",,,,,,
"Black Dragon Martial Arts Academy-48",black-dragon-martial-arts-academy-48,,3117,MMA,MMA,publish,,0,"2024-03-18 17:50:27",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230823132913-2023-08-23tbl_venue132817.jpg ! alt :  ! title : 20230823132913-2023-08-23tbl_venue132817 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/black-dragon-martial-arts-academy-48/,0,simple,,Chandigarh,,,"Martial Arts",,,,,,
"Saraswati Music Academy",saraswati-music-academy,,3118,SMA,SMA,publish,,0,"2024-03-18 17:50:31",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230823150203-2023-08-23tbl_venue145854.jpg ! alt :  ! title : 20230823150203-2023-08-23tbl_venue145854 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/saraswati-music-academy/,0,simple,,"Punjab > Kharar",,,Music,,,,,,
"Saraswati Music Academy-69",saraswati-music-academy-69,,3119,SMA,SMA,publish,,0,"2024-03-18 17:50:34",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230823150431-2023-08-23tbl_venue150223.jpg ! alt :  ! title : 20230823150431-2023-08-23tbl_venue150223 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/saraswati-music-academy-69/,0,simple,,Punjab,,,Music,,,,,,
"TIDA X HARDROCK",tida-x-hardrock,,3120,"Join us for the ultimate cricket-viewing experience! Watch the Indian team live for the ICC Cricket World Cup 2023 on the big screen. Enjoy delicious food and drinks, including your favorite beverages. Unlimited Beer @600 Unlimited IMFL @1100 Unlimited IMFL Liquor @1600 Celebrate every wicket and six with us! Call us at 8195944444 or 9888755514 for more information","Join us for the ultimate cricket-viewing experience! Watch the Indian team live for the ICC Cricket World Cup 2023 on the big screen. Enjoy delicious food and drinks, including your favorite beverages. Unlimited Beer @600 Unlimited IMFL @1100 Unlimited IMFL Liquor @1600 Celebrate every wicket and six with us! Call us at 8195944444 or 9888755514 for more information",publish,,0,"2024-03-18 17:50:41",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/3904image_cropper_50B094BC-9A4A-4DD9-815B-D0BAE03DB235-834-0000008C80EB608B.jpg ! alt :  ! title : 3904image_cropper_50B094BC-9A4A-4DD9-815B-D0BAE03DB235-834-0000008C80EB608B ! desc :  ! caption : ",,https://tidasports.com/index.php/product/tida-x-hardrock/,0,simple,,Chandigarh,,,Cricket,,,,,,
"Anees School Dance Academy",anees-school-dance-academy,,3121,dance,dance,publish,,0,"2024-03-18 17:50:48",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/3755image_cropper_1692876767645.jpg ! alt :  ! title : 3755image_cropper_1692876767645 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/anees-school-dance-academy/,0,simple,,"Punjab > Kharar|Punjab",,,Dance,,,,,,
"Gaurav Birla Dance Academy",gaurav-birla-dance-academy,,3123,dance,dance,publish,,0,"2024-03-18 17:50:53",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230824184159-2023-08-24tbl_venue184053-1-scaled.jpg ! alt :  ! title : 20230824184159-2023-08-24tbl_venue184053-1.jpg ! desc :  ! caption : ",,https://tidasports.com/index.php/product/gaurav-birla-dance-academy/,0,simple,,Punjab,,,Dance,,,,,,
nomthie,nomthie,,3124,"need serious relationship","need serious relationship",publish,,0,"2024-03-18 17:50:57",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/2200image_cropper_1693037786244.jpg ! alt :  ! title : 2200image_cropper_1693037786244 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/nomthie/,0,simple,,"Punjab > Kharar",,,Music,,,,,,
"SG MEC DRIVE",sg-mec-drive-2,,3125,"Experience the exhilaration of driving a sports car right from your mobile device! Our gaming steering brings the thrill of high-speed racing with precise control. Feel every turn, accelerate with precision and conquer the track like a true champion. Get ready for heart-pounding action &amp; the authentic experience of driving a sports car, all in the palm of your hand.","Experience the exhilaration of driving a sports car right from your mobile device! Our gaming steering brings the thrill of high-speed racing with precise control. Feel every turn, accelerate with precision and conquer the track like a true champion. Get ready for heart-pounding action &amp; the authentic experience of driving a sports car, all in the palm of your hand.",publish,,0,"2024-03-18 17:51:01",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/5519image_cropper_1693219478216.jpg ! alt :  ! title : 5519image_cropper_1693219478216 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/sg-mec-drive-2/,0,simple,,"Punjab > Kharar",,,"AR Gaming|Football",,,,,,
FOOTBALL,football,,3127,"Experience the ultimate footballing showdown on our meticulously maintained turf. Our convenient online booking platform allows you to secure your slot with ease. Book now and unleash your inner football champion on our exceptional playing field.","Experience the ultimate footballing showdown on our meticulously maintained turf. Our convenient online booking platform allows you to secure your slot with ease. Book now and unleash your inner football champion on our exceptional playing field.",publish,,0,"2024-03-18 17:51:04",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230829192642-2023-08-29tbl_venue192633-1-scaled.jpg ! alt :  ! title : 20230829192642-2023-08-29tbl_venue192633-1.jpg ! desc :  ! caption : ",,https://tidasports.com/index.php/product/football/,0,simple,,"Punjab > Kharar|Punjab",,,Football,,,,,,
BASKETBALL,basketball,,3129,"Step into the exhilarating world of basketball at kharar, where the echoes of sneakers on hardwood and the swish of the net create an ambiance that ignites the passion of players and fans alike.","Step into the exhilarating world of basketball at kharar, where the echoes of sneakers on hardwood and the swish of the net create an ambiance that ignites the passion of players and fans alike.",publish,,0,"2024-03-18 17:51:07",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230829192617-2023-08-29tbl_venue192614-1-scaled.jpg ! alt :  ! title : 20230829192617-2023-08-29tbl_venue192614-1.jpg ! desc :  ! caption : ",,https://tidasports.com/index.php/product/basketball/,0,simple,,"Punjab > Kharar|Punjab",,,Basketball,,,,,,
CRICKET,cricket-2,,3130,"Welcome to the enchanting world of cricket at kharar, a place where the sound of leather on willow and the collective cheers of passionate fans create an atmosphere like no other.","Welcome to the enchanting world of cricket at kharar, a place where the sound of leather on willow and the collective cheers of passionate fans create an atmosphere like no other.",publish,,0,"2024-03-18 17:51:08",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230918171320-2023-09-18tbl_venue171316.jpg ! alt :  ! title : 20230918171320-2023-09-18tbl_venue171316 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/cricket-2/,0,simple,,"Punjab > Kharar|Punjab",,,Cricket,,,,,,
Gibbo87,gibbo87,,3131,male,male,publish,,0,"2024-03-18 17:51:09",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/1105image_cropper_29D78225-F361-4682-AB18-0EB9C46E1CD7-1611-000000354FFCFE51.jpg ! alt :  ! title : 1105image_cropper_29D78225-F361-4682-AB18-0EB9C46E1CD7-1611-000000354FFCFE51 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/gibbo87/,0,simple,,"Punjab > Kharar",,,Swimming,,,,,,
"Tida Gold Membership",tida-gold-membership,,3132,"Flagship product of Tida Sports which combines one sport, one tuition, and one language into 1 Combo pack, designed to help students develop holistically","Flagship product of Tida Sports which combines one sport, one tuition, and one language into 1 Combo pack, designed to help students develop holistically",publish,,0,"2024-03-18 17:51:09",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/1813image_cropper_1703146692377.jpg ! alt :  ! title : 1813image_cropper_1703146692377 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/tida-gold-membership/,0,simple,,Punjab,,,Cricket,,,,,,
"FOOTBALL DRILL",football-drill,,3133,"LIVE STREAM","LIVE STREAM",publish,,0,"2024-03-18 17:51:10",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230921174922-2023-09-21tbl_venue174015.jpg ! alt :  ! title : 20230921174922-2023-09-21tbl_venue174015 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/football-drill/,0,simple,,"Punjab > Kharar",,,Football,,,,,,
"BADMINTON DRILL",badminton-drill,,3134,"LIVE STREAM","LIVE STREAM",publish,,0,"2024-03-18 17:51:13",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230921180201-2023-09-21tbl_venue175903.jpg ! alt :  ! title : 20230921180201-2023-09-21tbl_venue175903 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/badminton-drill/,0,simple,,"Punjab > Kharar|Punjab",,,Football,,,,,,
"MUSIC SESSION",music-session,,3135,"LIVE STREAM","LIVE STREAM",publish,,0,"2024-03-18 17:51:16",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230921182357-2023-09-21tbl_venue182148.jpg ! alt :  ! title : 20230921182357-2023-09-21tbl_venue182148 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/music-session/,0,simple,,Punjab,,,Badminton,,,,,,
"football drill 2",football-drill-2,,3136,"live stream","live stream",publish,,0,"2024-03-18 17:51:23",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230921192305-2023-09-21tbl_venue192123.png ! alt :  ! title : 20230921192305-2023-09-21tbl_venue192123 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/football-drill-2/,0,simple,,Punjab,,,Football,,,,,,
YMCA,ymca-2,,3138,"Step onto this lush green football turf and experience the true passion of the game, making it the ideal choice for your next football match. Book your slot today and let the games begin!","Step onto this lush green football turf and experience the true passion of the game, making it the ideal choice for your next football match. Book your slot today and let the games begin!",publish,,0,"2024-03-18 17:51:30",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/1109image_cropper_1701842497015-1-scaled.jpg ! alt :  ! title : 1109image_cropper_1701842497015-1.jpg ! desc :  ! caption : ",,https://tidasports.com/index.php/product/ymca-2/,0,simple,,Chandigarh,,,Football,,,,,,
"FOOTBALL DRILL || DAY 3 || TIDA SPORTS",football-drill-day-3-tida-sports,,3139,"LIVE STREAM","LIVE STREAM",publish,,0,"2024-03-18 17:51:31",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230922192246-2023-09-22tbl_venue191947.jpg ! alt :  ! title : 20230922192246-2023-09-22tbl_venue191947 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/football-drill-day-3-tida-sports/,0,simple,,Punjab,,,Football,,,,,,
"TIDA X NUGGET NATION",tida-x-nugget-nation,,3140,"TIDA X NUGGET NATION || LIVE FOOTBALL STREAM","TIDA X NUGGET NATION || LIVE FOOTBALL STREAM",publish,,0,"2024-03-18 17:51:31",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230924101847-2023-09-24tbl_venue101340.jpg ! alt :  ! title : 20230924101847-2023-09-24tbl_venue101340 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/tida-x-nugget-nation/,0,simple,,Chandigarh,,,Football,,,,,,
"Legacy Matters",legacy-matters,,3141,"Experience the thrill of the game at Legacy Matters state-of-the-art football turf. Book your slot today and enjoy a seamless and hassle-free booking experience.","Experience the thrill of the game at Legacy Matters state-of-the-art football turf. Book your slot today and enjoy a seamless and hassle-free booking experience.",publish,,0,"2024-03-18 17:51:32",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/3902image_cropper_1696487585165.jpg ! alt :  ! title : 3902image_cropper_1696487585165 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/legacy-matters/,0,simple,,Chandigarh,,,Football,,,,,,
"TODH FC VS KHARAR FC || SEMI FINALS",todh-fc-vs-kharar-fc-semi-finals,,3142,"LIVE STREAM","LIVE STREAM",publish,,0,"2024-03-18 17:51:33",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230930202157-2023-09-30tbl_venue201924.jpg ! alt :  ! title : 20230930202157-2023-09-30tbl_venue201924 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/todh-fc-vs-kharar-fc-semi-finals/,0,simple,,Chandigarh,,,Football,,,,,,
Nutritionist,nutritionist-2,,3143,"The secrets to nurturing the health and vitality of children aged 3 to 12 years with essential insights into the nutritional needs of growing children is balanced diet which helps in fueling their growth, development, and energy. Meet our nutritionist who offers practical tips and suggestions for promoting healthy eating habits in children, including the importance of incorporating a variety of colorful fruits and vegetables into their daily meals.","The secrets to nurturing the health and vitality of children aged 3 to 12 years with essential insights into the nutritional needs of growing children is balanced diet which helps in fueling their growth, development, and energy. Meet our nutritionist who offers practical tips and suggestions for promoting healthy eating habits in children, including the importance of incorporating a variety of colorful fruits and vegetables into their daily meals.",publish,,0,"2024-03-18 17:51:33",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/3036image_cropper_1696508658836.jpg ! alt :  ! title : 3036image_cropper_1696508658836 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/nutritionist-2/,0,simple,,"Punjab > Mohali|Punjab",,,Cricket,,,,,,
"BOX CRICKET",box-cricket,,3144,"COMING SOON!!!","COMING SOON!!!",publish,,0,"2024-03-18 17:51:34",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20231005175132-2023-10-05tbl_venue174934.jpg ! alt :  ! title : 20231005175132-2023-10-05tbl_venue174934 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/box-cricket/,0,simple,,Chandigarh,,,Cricket,,,,,,
